Designator,Mid X,Mid Y,Rotation,Layer
J1,116.6,-72.3175,90.0,top
J2,120.41,-72.3175,90.0,top
J3,130.8825,-86.6,0.0,top
J4,130.8825,-90.41,0.0,top
J5,116.6,-100.8825,270.0,top
J6,120.41,-100.8825,270.0,top
J7,102.3175,-86.6,180.0,top
J8,102.3175,-90.41,180.0,top
LED1,106.1,-76.1,270.0,top
LED10,124.1,-79.1,90.0,top
LED11,121.1,-79.1,90.0,top
LED12,118.1,-79.1,90.0,top
LED13,115.1,-79.1,90.0,top
LED14,112.1,-79.1,90.0,top
LED15,109.1,-79.1,90.0,top
LED16,106.1,-79.1,90.0,top
LED17,106.1,-82.1,270.0,top
LED18,109.1,-82.1,270.0,top
LED19,112.1,-82.1,270.0,top
LED2,109.1,-76.1,270.0,top
LED20,115.1,-82.1,270.0,top
LED21,118.1,-82.1,270.0,top
LED22,121.1,-82.1,270.0,top
LED23,124.1,-82.1,270.0,top
LED24,127.1,-82.1,270.0,top
LED25,127.1,-85.1,90.0,top
LED26,124.1,-85.1,90.0,top
LED27,121.1,-85.1,90.0,top
LED28,118.1,-85.1,90.0,top
LED29,115.1,-85.1,90.0,top
LED3,112.1,-76.1,270.0,top
LED30,112.1,-85.1,90.0,top
LED31,109.1,-85.1,90.0,top
LED32,106.1,-85.1,90.0,top
LED33,106.1,-88.1,270.0,top
LED34,109.1,-88.1,270.0,top
LED35,112.1,-88.1,270.0,top
LED36,115.1,-88.1,270.0,top
LED37,118.1,-88.1,270.0,top
LED38,121.1,-88.1,270.0,top
LED39,124.1,-88.1,270.0,top
LED4,115.1,-76.1,270.0,top
LED40,127.1,-88.1,270.0,top
LED41,127.1,-91.1,90.0,top
LED42,124.1,-91.1,90.0,top
LED43,121.1,-91.1,90.0,top
LED44,118.1,-91.1,90.0,top
LED45,115.1,-91.1,90.0,top
LED46,112.1,-91.1,90.0,top
LED47,109.1,-91.1,90.0,top
LED48,106.1,-91.1,90.0,top
LED49,106.1,-94.1,270.0,top
LED5,118.1,-76.1,270.0,top
LED50,109.1,-94.1,270.0,top
LED51,112.1,-94.1,270.0,top
LED52,115.1,-94.1,270.0,top
LED53,118.1,-94.1,270.0,top
LED54,121.1,-94.1,270.0,top
LED55,124.1,-94.1,270.0,top
LED56,127.1,-94.1,270.0,top
LED57,127.1,-97.1,90.0,top
LED58,124.1,-97.1,90.0,top
LED59,121.1,-97.1,90.0,top
LED6,121.1,-76.1,270.0,top
LED60,118.1,-97.1,90.0,top
LED61,115.1,-97.1,90.0,top
LED62,112.1,-97.1,90.0,top
LED63,109.1,-97.1,90.0,top
LED64,106.1,-97.1,90.0,top
LED7,124.1,-76.1,270.0,top
LED8,127.1,-76.1,270.0,top
LED9,127.1,-79.1,90.0,top
